sample_id,image_file,side,roi_name,object_id,centroid_x,centroid_y,area_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,region
demo_image,demo_image.tif,right,CPu_R,633,4736.660458452722,2782.7965616045844,1396,2759,4711,2808,4763,dorsal
demo_image,demo_image.tif,right,CPu_R,635,6007.728,2787.8995555555557,1125,2760,5991,2813,6025,dorsal
demo_image,demo_image.tif,right,CPu_R,636,5783.567843137255,2801.1660130718956,3825,2763,5749,2841,5818,dorsal
demo_image,demo_image.tif,right,CPu_R,637,5950.667166416792,2780.0524737631185,667,2763,5939,2799,5963,dorsal
demo_image,demo_image.tif,right,CPu_R,638,5489.552925989673,2795.9251290877796,2324,2764,5461,2826,5525,dorsal
demo_image,demo_image.tif,right,CPu_R,640,5856.875084402431,2788.216745442269,1481,2766,5833,2812,5884,dorsal
demo_image,demo_image.tif,right,CPu_R,642,4887.14932048856,2807.855668329606,5813,2768,4843,2848,4942,dorsal
demo_image,demo_image.tif,right,CPu_R,643,5885.0,2788.1967005076144,788,2769,5870,2807,5902,dorsal
demo_image,demo_image.tif,right,CPu_R,644,5730.033414043583,2803.553510895884,2065,2775,5706,2831,5762,dorsal
demo_image,demo_image.tif,right,CPu_R,646,5580.022589052997,2805.9387489139876,2302,2777,5552,2837,5606,dorsal
demo_image,demo_image.tif,right,CPu_R,647,5663.381974248927,2798.8995708154507,1165,2778,5640,2819,5689,dorsal
demo_image,demo_image.tif,right,CPu_R,649,6041.490364025696,2814.5060670949324,1401,2779,6026,2851,6056,dorsal
demo_image,demo_image.tif,right,CPu_R,654,6156.017478152309,2805.885143570537,801,2784,6143,2832,6168,dorsal
demo_image,demo_image.tif,right,CPu_R,656,6248.737953795379,2810.8171617161715,1515,2786,6232,2838,6268,dorsal
demo_image,demo_image.tif,right,CPu_R,657,4705.445463049579,2833.153227315248,5345,2787,4668,2883,4741,dorsal
demo_image,demo_image.tif,right,CPu_R,658,5362.664364640884,2819.529005524862,2172,2787,5340,2855,5385,dorsal
demo_image,demo_image.tif,right,CPu_R,662,5066.158672126353,2841.9349224919565,6838,2791,5015,2895,5126,dorsal
demo_image,demo_image.tif,right,CPu_R,663,5303.195203197868,2818.294470353098,1501,2794,5286,2843,5322,dorsal
demo_image,demo_image.tif,right,CPu_R,664,5390.686823104693,2821.2536101083033,1108,2794,5378,2857,5406,dorsal
demo_image,demo_image.tif,right,CPu_R,665,5928.1482843137255,2814.4607843137255,816,2797,5913,2837,5944,dorsal
demo_image,demo_image.tif,right,CPu_R,666,6145.446831364125,2825.807733619764,931,2800,6129,2851,6166,dorsal
demo_image,demo_image.tif,right,CPu_R,668,4948.958595859586,2823.3996399639964,1111,2802,4932,2846,4966,dorsal
demo_image,demo_image.tif,right,CPu_R,670,5125.42362294151,2836.0011357183416,1761,2806,5102,2867,5150,dorsal
demo_image,demo_image.tif,right,CPu_R,671,5902.631319358817,2822.313193588163,811,2806,5882,2841,5923,dorsal
demo_image,demo_image.tif,right,CPu_R,675,5945.190243902439,2835.0634146341463,820,2808,5928,2857,5957,dorsal
demo_image,demo_image.tif,right,CPu_R,678,5476.218608852755,2835.252935862692,1107,2813,5454,2863,5495,dorsal
demo_image,demo_image.tif,right,CPu_R,680,5677.048691099477,2840.03612565445,1910,2815,5650,2869,5706,dorsal
demo_image,demo_image.tif,right,CPu_R,682,5449.433830845771,2838.409950248756,1005,2816,5432,2862,5470,dorsal
demo_image,demo_image.tif,right,CPu_R,683,5513.265268065268,2847.200466200466,2145,2816,5492,2878,5535,dorsal
